1,1008
2,3474
3,3262
4,2099
5,6976
6,4596
7,3906
8,3807
9,6059
10,5933
11,6933
12,7225
13,5897
14,5625
15,6083
16,11839
17,9459
18,10569
19,5841
20,8017
21,6872
22,6872
23,6872
24,6872
25,6872
26,6872
27,6872
28,6872
29,6872
30,6872
31,10080
32,10181
33,5233
34,7474
35,5376
36,5089
37,7915
38,7694
39,8831
40,5641
41,5532
42,5914
43,7520
44,6814
45,6624
46,8375
47,7411
48,6280
49,7415
50,6849
51,7703
52,3905
53,5668
54,4925
55,5614
56,2158
57,4707
58,3306
59,3086
60,2455
61,1834
62,2110
63,5212
64,2146
65,1596
66,720
67,1595
68,1197
69,1429
70,952
71,1158
72,801
73,1314
74,1095
75,1119
76,1167
77,424
78,613
79,1333
80,687
81,871
82,932
83,407
84,1393
85,555
86,910
87,402
88,402
89,1103
90,1596
91,1242
92,1077
93,612
94,821
95,1549
96,647
97,758
98,982
99,292
100,2714
101,1737
102,1195
103,349
104,1038
105,780
106,538
107,577
108,486
109,440
110,346
111,482
112,725
113,711
114,118
115,7735
116,4315
117,690
118,247
119,551
120,515
121,627
122,418
123,246
124,322
125,127
126,36
127,286
128,219
129,513
130,227
131,155
132,150
133,383
134,978
135,359
136,359
137,281
138,362
139,589
140,636
141,115
142,59
143,224
144,313
145,141
146,361
147,63
148,325
149,214
150,377
151,505
152,708
153,731
154,238
155,295
156,155
157,131
158,98
159,932
160,239
161,310
162,416
163,359
164,611
165,132
166,233
167,68
168,109
169,169
170,713
171,118
172,313
173,671
174,340
175,193
176,280
177,58
178,440
179,150
180,105
181,153
182,5
183,193
184,160
185,193
186,109
187,237
188,205
189,399
190,73
191,70
192,67
193,73
194,263
195,51
196,344
197,79
198,247
199,69
200,234
201,25
202,243
203,71
204,218
205,29
206,234
207,461
208,256
209,335
210,1
211,186
212,31
213,105
214,107
215,176
216,281
217,6
218,102
219,217
220,26
221,138
222,275
223,79
224,189
225,29
226,175
227,6
228,28
229,193
230,55
231,223
232,190
233,98
234,0
235,349
236,119
237,483
238,75
239,10
240,2
241,14
242,94
243,3
244,163
245,53
246,3
247,53
248,64
249,7
250,76
251,108
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
